run_id,workflow_slug,workflow_name,component,component_label,model_slug,model_name,vendor,calls_in_run,tokens_input,tokens_output,cached_tokens_input,cost_input_usd,cost_cached_input_usd,cost_output_usd,cost_total_usd,cost_share_pct,is_invisible,invisible_reason,latency_ttft_ms,latency_generation_ms,latency_total_ms,retried,retry_count,status,timestamp_start,timestamp_end,active_users,runs_per_day
0ff91f56-2730-4869-9e58-6f1d5a5b65ba,market-research-synthesis-agentic,Market research synthesis (agentic loop),model,LLM inference (Claude Opus 4),claude-opus-4,Claude Opus 4,Anthropic,13,48575,10947,1062,0.712695,0.001593,0.821025,1.535313,29,False,,1035,223706,224741,False,0,success,2024-01-10T03:05:39.176702,2024-01-10T03:09:23.917702,10,6
0ff91f56-2730-4869-9e58-6f1d5a5b65ba,market-research-synthesis-agentic,Market research synthesis (agentic loop),prompt,Research persona and output schema prefix,claude-opus-4,Claude Opus 4,Anthropic,15,78897,0,21837,0.8559,0.0327555,0.0,0.8886555,26,False,,1097,50,1147,False,0,success,2024-01-10T03:09:24.066702,2024-01-10T03:09:25.213702,10,6
0ff91f56-2730-4869-9e58-6f1d5a5b65ba,market-research-synthesis-agentic,Market research synthesis (agentic loop),orchestration,Planner-executor-verifier loop hops,claude-opus-4,Claude Opus 4,Anthropic,41,13670,2006,1260,0.18615,0.00189,0.15045,0.33849,12,True,Each planner-executor-verifier trio looks like one 'research step' in logs; the three underlying API calls are never surfaced as separate line items.,1305,47699,49004,False,0,success,2024-01-10T03:09:25.309702,2024-01-10T03:10:14.313702,10,6
0ff91f56-2730-4869-9e58-6f1d5a5b65ba,market-research-synthesis-agentic,Market research synthesis (agentic loop),retrieval,Iterative web and vector retrieval,text-embedding-3-large,text-embedding-3-large,OpenAI,24,24614,0,0,0.00319982,0.0,0.0,0.00319982,5,True,Retrieval cost sits on the vector-DB vendor invoice; no cross-charging to the workflow P&L occurs.,131,50,181,False,0,success,2024-01-10T03:10:14.415702,2024-01-10T03:10:14.596702,10,6
0ff91f56-2730-4869-9e58-6f1d5a5b65ba,market-research-synthesis-agentic,Market research synthesis (agentic loop),history,Full research thread re-sent each iteration,claude-opus-4,Claude Opus 4,Anthropic,13,180405,0,35863,2.16813,0.0537945,0.0,2.2219245,28,True,"Accumulated research state is framed as 'context' in framework logs, not as re-billed tokens, so it does not appear in per-call spend reporting.",843,50,893,False,0,success,2024-01-10T03:10:14.665702,2024-01-10T03:10:15.558702,10,6
5e1624c6-b9a2-42a0-b0a1-bc8a9d2229d1,regulatory-filing-review,Regulatory filing review,model,Long-context inference (Gemini 2.5 Pro),gemini-2-5-pro,Gemini 2.5 Pro,Google,1,156642,6099,876,0.1947075,0.00027375,0.06099,0.25597125,38,False,,1232,126152,127384,False,0,success,2024-07-13T23:03:55.162009,2024-07-13T23:06:02.546009,12,5
5e1624c6-b9a2-42a0-b0a1-bc8a9d2229d1,regulatory-filing-review,Regulatory filing review,prompt,Extraction schema and compliance checklist,gemini-2-5-pro,Gemini 2.5 Pro,Google,1,16746,0,4499,0.01530875,0.00140594,0.0,0.01671469,3,False,,1178,50,1228,False,0,success,2024-07-13T23:06:02.658009,2024-07-13T23:06:03.886009,12,5
5e1624c6-b9a2-42a0-b0a1-bc8a9d2229d1,regulatory-filing-review,Regulatory filing review,orchestration,Pre-processing and post-processing pipeline calls,gemini-2-5-pro,Gemini 2.5 Pro,Google,4,10958,2391,51,0.01363375,1.594e-05,0.02391,0.03755969,4,True,"Pre- and post-processing calls are logged as 'pipeline infra' costs, not attributed to the filing review workflow.",813,38620,39433,False,0,success,2024-07-13T23:06:04.033009,2024-07-13T23:06:43.466009,12,5
5e1624c6-b9a2-42a0-b0a1-bc8a9d2229d1,regulatory-filing-review,Regulatory filing review,retrieval,Precedent-filing vector lookup,text-embedding-3-large,text-embedding-3-large,OpenAI,8,25668,0,0,0.00333684,0.0,0.0,0.00333684,32,True,"Embedding regeneration on every run is a design default in LlamaIndex; the cost appears on the embedding-provider invoice, not in the LLM spend view.",119,50,169,False,0,success,2024-07-13T23:06:43.584009,2024-07-13T23:06:43.753009,12,5
5e1624c6-b9a2-42a0-b0a1-bc8a9d2229d1,regulatory-filing-review,Regulatory filing review,history,Cross-document comparison context,gemini-2-5-pro,Gemini 2.5 Pro,Google,1,21299,0,3907,0.02174,0.00122094,0.0,0.02296094,23,True,Cross-cycle context is framed as 'document memory' and handled by the application layer; it never appears as a token cost line in the model provider bill.,1254,50,1304,False,0,success,2024-07-13T23:06:43.792009,2024-07-13T23:06:45.096009,12,5
